Entity,Year,GDP,CO2
China,1990,1.62E+12,2484854800
China,1991,1.77E+12,2606096100
China,1992,2.02E+12,2730787600
China,1993,2.30E+12,2921651000
China,1994,2.60E+12,3100002000
China,1995,2.88E+12,3357909000
China,1996,3.17E+12,3503233500
China,1997,3.46E+12,3510169000
China,1998,3.73E+12,3360455400
China,1999,4.02E+12,3552842000
China,2000,4.36E+12,3644464000
China,2001,4.72E+12,3723730700
China,2002,5.15E+12,4112459000
China,2003,5.67E+12,4827446000
China,2004,6.24E+12,5223755000
China,2005,6.95E+12,5876555300
China,2006,7.84E+12,6488804000
China,2007,8.96E+12,6978611700
China,2008,9.82E+12,7496832000
China,2009,1.07E+13,7886532600
China,2010,1.19E+13,8616653000
China,2011,1.30E+13,9528556000
China,2012,1.40E+13,9779281000
China,2013,1.51E+13,9956309000
China,2014,1.63E+13,9998621000
China,2015,1.74E+13,9866905000
China,2016,1.86E+13,9764980000
China,2017,1.99E+13,10011107000
China,2018,2.12E+13,10353877000
China,2019,2.25E+13,10740996000
China,2020,2.30E+13,10956213000
World,1990,5.11E+13,22757480000
World,1991,5.18E+13,23244806000
World,1992,5.26E+13,22580023000
World,1993,5.35E+13,22812901000
World,1994,5.50E+13,22969498000
World,1995,5.67E+13,23458714000
World,1996,5.88E+13,24159384000
World,1997,6.11E+13,24302584000
World,1998,6.26E+13,24213260000
World,1999,6.48E+13,24732390000
World,2000,6.79E+13,25453623000
World,2001,6.94E+13,25668049000
World,2002,7.13E+13,26281038000
World,2003,7.39E+13,27651596000
World,2004,7.77E+13,28636695000
World,2005,8.12E+13,29614602000
World,2006,8.54E+13,30593118000
World,2007,8.98E+13,31506788000
World,2008,9.22E+13,32085836000
World,2009,9.15E+13,31564032000
World,2010,9.62E+13,33364347000
World,2011,9.99E+13,34487013000
World,2012,1.03E+14,35006270000
World,2013,1.06E+14,35319200000
World,2014,1.10E+14,35577537000
World,2015,1.14E+14,35558568000
World,2016,1.17E+14,35524190000
World,2017,1.22E+14,36096737000
World,2018,1.26E+14,36826510000
World,2019,1.30E+14,37082560000
World,2020,1.26E+14,35264086000
United States,1990,1.01E+13,5122496000
United States,1991,1.01E+13,5064987000
United States,1992,1.04E+13,5175220000
United States,1993,1.07E+13,5274363000
United States,1994,1.12E+13,5365579000
United States,1995,1.15E+13,5427798500
United States,1996,1.19E+13,5616430600
United States,1997,1.24E+13,5691864600
United States,1998,1.30E+13,5737129500
United States,1999,1.36E+13,5810331600
United States,2000,1.41E+13,6016350700
United States,2001,1.43E+13,5911988000
United States,2002,1.45E+13,5952699000
United States,2003,1.49E+13,6015804400
United States,2004,1.55E+13,6117963000
United States,2005,1.61E+13,6137603600
United States,2006,1.65E+13,6057163300
United States,2007,1.68E+13,6135287300
United States,2008,1.68E+13,5918868500
United States,2009,1.64E+13,5482978000
United States,2010,1.68E+13,5681392000
United States,2011,1.71E+13,5546629000
United States,2012,1.74E+13,5345454000
United States,2013,1.78E+13,5480926000
United States,2014,1.82E+13,5528871000
United States,2015,1.88E+13,5376578000
United States,2016,1.91E+13,5251757600
United States,2017,1.95E+13,5210957300
United States,2018,2.01E+13,5376657400
United States,2019,2.06E+13,5259144000
United States,2020,1.99E+13,4715691000
