Entity,Year,"GDP, PPP (constant 2017 international $)",Annual CO2 emissions
World,1990,5.11E+13,22757480000
World,1991,5.18E+13,23244806000
World,1992,5.26E+13,22580023000
World,1993,5.35E+13,22812901000
World,1994,5.50E+13,22969498000
World,1995,5.67E+13,23458714000
World,1996,5.88E+13,24159384000
World,1997,6.11E+13,24302584000
World,1998,6.26E+13,24213260000
World,1999,6.48E+13,24732390000
World,2000,6.79E+13,25453623000
World,2001,6.94E+13,25668049000
World,2002,7.13E+13,26281038000
World,2003,7.39E+13,27651596000
World,2004,7.77E+13,28636695000
World,2005,8.12E+13,29614602000
World,2006,8.54E+13,30593118000
World,2007,8.98E+13,31506788000
World,2008,9.22E+13,32085836000
World,2009,9.15E+13,31564032000
World,2010,9.62E+13,33364347000
World,2011,9.99E+13,34487013000
World,2012,1.03E+14,35006270000
World,2013,1.06E+14,35319200000
World,2014,1.10E+14,35577537000
World,2015,1.14E+14,35558568000
World,2016,1.17E+14,35524190000
World,2017,1.22E+14,36096737000
World,2018,1.26E+14,36826510000
World,2019,1.30E+14,37082560000
World,2020,1.26E+14,35264086000
