Quarter,native,native_predict,native_error,migrant,migrant_predict,migrant_error
Jan-Mar 2011,7.6,7.684042553,-0.084042553,8.7,8.952393617,-1.352393617
Apr-Jun 2011,7.7,7.579000925,0.120999075,8.9,8.843640148,-1.143640148
Jul-Sep 2011,8.4,7.473959297,0.926040703,9.8,8.734886679,-0.334886679
Oct-Dec 2011,8,7.368917669,0.631082331,9.9,8.62613321,-0.62613321
Jan-Mar 2012,7.9,7.263876041,0.636123959,10.1,8.517379741,-0.617379741
Apr-Jun 2012,7.8,7.158834413,0.641165587,8.7,8.408626272,-0.608626272
Jul-Sep 2012,7.9,7.053792784,0.846207216,9.3,8.299872803,-0.399872803
Oct-Dec 2012,7.4,6.948751156,0.451248844,9.1,8.191119334,-0.791119334
Jan-Mar 2013,7.5,6.843709528,0.656290472,9.5,8.082365865,-0.582365865
Apr-Jun 2013,7.5,6.7386679,0.7613321,8.7,7.973612396,-0.473612396
Jul-Sep 2013,7.6,6.633626272,0.966373728,9,7.864858927,-0.264858927
Oct-Dec 2013,6.9,6.528584644,0.371415356,7.8,7.756105458,-0.856105458
Jan-Mar 2014,6.5,6.423543016,0.076456984,8,7.647351989,-1.147351989
Apr-Jun 2014,6,6.318501388,-0.318501388,7.3,7.53859852,-1.53859852
Jul-Sep 2014,6.1,6.213459759,-0.113459759,6.9,7.429845051,-1.329845051
Oct-Dec 2014,5.4,6.108418131,-0.708418131,6.4,7.321091582,-1.921091582
Jan-Mar 2015,5.3,6.003376503,-0.703376503,6.4,7.212338113,-1.912338113
Apr-Jun 2015,5.3,5.898334875,-0.598334875,6.5,7.103584644,-1.803584644
Jul-Sep 2015,5.3,5.793293247,-0.493293247,6.3,6.994831175,-1.694831175
Oct-Dec 2015,4.7,5.688251619,-0.988251619,6.1,6.886077706,-2.186077706
Jan-Mar 2016,4.9,5.583209991,-0.683209991,6.1,6.777324237,-1.877324237
Apr-Jun 2016,4.7,5.478168363,-0.778168363,5.5,6.668570768,-1.968570768
Jul-Sep 2016,4.9,5.373126735,-0.473126735,5.6,6.559817299,-1.659817299
Oct-Dec 2016,4.5,5.268085106,-0.768085106,5.2,6.45106383,-1.95106383
Jan-Mar 2017,4.3,5.163043478,-0.863043478,5.8,6.342310361,-2.042310361
Apr-Jun 2017,4.2,5.05800185,-0.85800185,5.3,6.233556892,-2.033556892
Jul-Sep 2017,4.4,4.952960222,-0.552960222,4.7,6.124803423,-1.724803423
Oct-Dec 2017,4.1,4.847918594,-0.747918594,4.8,6.016049954,-1.916049954
Jan-Mar 2018,4,4.742876966,-0.742876966,5,5.907296485,-1.907296485
Apr-Jun 2018,3.8,4.637835338,-0.837835338,4.5,5.798543016,-1.998543016
Jul-Sep 2018,4.1,4.53279371,-0.43279371,5,5.689789547,-1.589789547
Oct-Dec 2018,3.8,4.427752081,-0.627752081,4.4,5.581036078,-1.781036078
Jan-Mar 2019,3.6,4.322710453,-0.722710453,4.6,5.472282609,-1.872282609
Apr-Jun 2019,3.6,4.217668825,-0.617668825,4.6,5.36352914,-1.76352914
Jul-Sep 2019,4,4.112627197,-0.112627197,4.3,5.254775671,-1.254775671
Oct-Dec 2019,3.7,4.007585569,-0.307585569,3.9,5.146022202,-1.446022202
Jan-Mar 2020,3.8,3.902543941,-0.102543941,4.5,5.037268733,-1.237268733
Apr-Jun 2020,3.8,3.797502313,0.002497687,4.6,4.928515264,-1.128515264
Jul-Sep 2020,4.7,3.692460685,1.007539315,6.5,4.819761795,-0.119761795
Oct-Dec 2020,4.8,3.587419056,1.212580944,7.1,4.711008326,0.088991674
Jan-Mar 2021,4.5,3.482377428,1.017622572,6.7,4.602254857,-0.102254857
Apr-Jun 2021,4.3,3.3773358,0.9226642,5.7,4.493501388,-0.193501388
Jul-Sep 2021,4.2,3.272294172,0.927705828,5.7,4.384747919,-0.184747919
Oct-Dec 2021,3.8,3.167252544,0.632747456,5.3,4.27599445,-0.47599445
Jan-Mar 2022,3.4,3.062210916,0.337789084,4.8,4.167240981,-0.767240981
Apr-Jun 2022,3.4,2.957169288,0.442830712,4.6,4.058487512,-0.658487512
Jul-Sep 2022,3.5,2.85212766,0.64787234,5,3.949734043,-0.449734043
